# Метеостанция Алматы, Казахстан, WMO_ID=36870, выборка с 01.01.2018 по 09.04.2018, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Алматы;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
06.04.2018 15:00;22,6;687,1;756,7;-1,2;32;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";4,0;5,0;;;;;;
06.04.2018 12:00;20,5;688,3;758,6;-0,9;32;Ветер, дующий с северо-востока;1;;;100%.; ;;;10,0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";10,0;3,3;;;;;;
06.04.2018 09:00;16,8;689,2;760,6;-0,3;30;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-0,9;;;Поверхность почвы влажная.;;;
06.04.2018 06:00;10,8;689,5;762,6;0,0;43;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1,4;;;;;;
06.04.2018 03:00;12,9;689,5;761,9;-0,2;36;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2,1;;;;;;
06.04.2018 00:00;12,0;689,7;762,4;-0,3;48;Штиль, безветрие;0;;;100%.; ;;;;22,6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;1,1;;;;;;
05.04.2018 21:00;14,9;690,0;762,0;0,5;49;Штиль, безветрие;0;;;100%.; ;;;;22,6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;4,3;;;;;;
05.04.2018 18:00;20,6;689,5;759,9;-0,1;37;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;5,4;;;;;;
05.04.2018 15:00;20,6;689,6;760,1;-0,1;32;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";10,0;3,1;;;;;;
05.04.2018 12:00;16,7;689,7;761,2;-0,6;32;Штиль, безветрие;0;;;70 – 80%.; ;;;2,6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";10,0;-0,1;;;;;;
05.04.2018 09:00;4,6;690,3;765,1;0,5;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;0,4;;;;;;
05.04.2018 06:00;9,8;689,8;763,1;-0,5;55;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;1,0;;;Поверхность почвы влажная.;;;
05.04.2018 03:00;4,6;690,3;765,1;-1,4;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;0,4;;;;;;
05.04.2018 00:00;6,4;691,7;766,1;-1,0;68;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;15,0;;;;;;;0,8;;;;;;
04.04.2018 21:00;9,3;692,7;766,5;-0,3;50;Штиль, безветрие;0;;;Облаков нет.; ;;;;15,0;;;;;;;-0,7;;;;;;
04.04.2018 18:00;13,8;693,0;765,7;-0,9;39;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;10,0;0,0;;;;;;
04.04.2018 15:00;13,4;693,9;766,7;-1,4;38;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;20,0;-0,6;;;;;;
04.04.2018 12:00;9,8;695,3;769,3;-0,8;47;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;0,6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-1,0;;;;;;
04.04.2018 09:00;7,6;696,1;770,7;-0,6;52;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;20,0;-1,6;;;Поверхность почвы влажная.;;;
04.04.2018 06:00;0,9;696,7;773,3;-0,9;82;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-1,9;;;;;;
04.04.2018 03:00;1,9;697,6;774,1;-0,9;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-1,3;;;;;;
04.04.2018 00:00;3,9;698,5;774,5;-0,2;55;Штиль, безветрие;0;;;Облаков нет.; ;;;;13,0;;;;;;;-4,4;;;;;;
03.04.2018 21:00;7,8;698,7;773,5;1,0;38;Штиль, безветрие;0;;;Облаков нет.; ;;;;13,0;;;;;;;-5,7;;;;;;
03.04.2018 18:00;7,8;698,7;773,5;2,0;38;Штиль, безветрие;0;;;Облаков нет.; ;;;;13,0;;;;;;;-5,7;;;;;;
03.04.2018 15:00;11,6;696,7;770,4;-1,4;46;Ветер, дующий с востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;0,4;;;;;;
03.04.2018 12:00;4,8;698,1;773,7;2,9;65;Штиль, безветрие;0;;;100%.; ;;;3,8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;-1,2;;;;;;
03.04.2018 09:00;4,4;695,2;770,6;2,2;63;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;-2,0;;;Поверхность почвы влажная.;4,0;;
03.04.2018 06:00;5,3;693,0;767,8;0,9;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;3,0;;;;;;
03.04.2018 03:00;5,0;692,1;766,9;-1,1;86;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;2,9;;;;;;
03.04.2018 00:00;5,1;693,2;768,1;-0,8;83;Штиль, безветрие;0;;;100%.; ;;;;9,0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;2,5;;;;;;
02.04.2018 21:00;7,0;694,0;768,4;-0,3;81;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;9,0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;3,9;;;;;;
02.04.2018 18:00;8,0;694,3;768,6;-1,2;66;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10,0;2,0;;;;;;
02.04.2018 15:00;8,0;695,5;769,9;-1,2;63;Штиль, безветрие;0;;;60%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;1,4;;;;;;
02.04.2018 12:00;4,3;696,7;772,3;-1,1;77;Штиль, безветрие;0;;;50%.;Дымка. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-1,7;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;0,6;2;12;;;;
02.04.2018 09:00;-0,5;697,8;775,0;-0,3;96;Штиль, безветрие;0;;;100%.;Дымка.  Высота свежевыпавшего снега составляет 4 см.;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;1,0;-1,1;2;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;1
02.04.2018 06:00;-1,2;698,1;775,5;0,2;94;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2,1;;;;;;
02.04.2018 03:00;-1,2;697,9;775,3;0,3;92;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2,4;;;;;;
02.04.2018 00:00;-1,1;697,6;774,8;-0,1;94;Ветер, дующий с юго-юго-запада;1;;;100%.;Дымка. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;3,6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2,0;7;12;;;;
01.04.2018 21:00;-0,5;697,7;774,8;0,9;94;Штиль, безветрие;0;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;3,6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1,3;7;12;;;;
01.04.2018 18:00;-0,2;696,8;773,7;0,1;94;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;-1,0;;;;;;
01.04.2018 15:00;0,3;696,7;773,4;1,0;87;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;-1,6;;;;;;
01.04.2018 12:00;1,3;695,7;772,0;1,9;87;Штиль, безветрие;0;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;2,4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;1,0;-0,6;4;12;;;;
01.04.2018 09:00;2,9;693,8;769,4;2,8;92;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;1,7;4;12;Поверхность почвы влажная.;5,0;;
01.04.2018 06:00;4,3;691,0;766,0;1,3;94;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;;3,4;;;;;;
